platform,title,brand,category,final_price_usd,initial_price_usd,currency,rating,reviews_count,has_discount,discount_pct,price_band,disc_level
Amazon,"HAVLULAND |Pack of 2| Turkish Beach Towels Oversized 39x71, 100% Turkish Cotton ",HAVLULAND,"[""Home & Kitchen"",""Bath"",""Towels"",""Beach Towels""]",19.9,27.0,USD,4.3,2318.0,True,26.2962962962963,中价($15-30),中度(15-30%)
Amazon,Ohuhu Garden Kneeler and Seat: Upgraded Widened Gardening Stool with Detachable ,Ohuhu,"[""Patio, Lawn & Garden"",""Gardening & Lawn Care"",""Gloves & Pr",59.99,59.99,USD,4.7,80.0,False,0.0,高价($50-100),无折扣
Amazon,"SupeRun 2024 Newest Smart Walking Pad Treadmill, Under Desk Treadmill for Home O",Superun,"[""Sports & Outdoors"",""Exercise & Fitness"",""Cardio Training"",",129.99,269.99,USD,4.4,127.0,True,51.853772361939335,超高价(>$100),重度(>30%)
Amazon,"Hardwired LED Under Cabinet Lighting - 16 Watt, 24"", Dimmable, CRI>90, 3000K (Wa",harrrrd,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Wall ",39.89,50.99,USD,4.6,2200.0,True,21.76897430868798,中高价($30-50),中度(15-30%)
Amazon,"Schiff Glucosamine with Vitamin D3 & Hyaluronic Acid, 2000mg of Glucosamine, Joi",Schiff,"[""Health & Household"",""Vitamins, Minerals & Supplements"",""Ch",26.64,39.0,USD,4.7,1877.0,True,31.692307692307693,中价($15-30),重度(>30%)
Amazon,"Dritz 99-34 Metal Swim Suit Bra Hooks, White, 3/4-Inch 2-Count",Dritz,"[""Arts, Crafts & Sewing"",""Sewing"",""Sewing Notions & Supplies",4.28,4.28,USD,4.5,50.0,False,0.0,超低价(<$5),无折扣
Amazon,"SLEEKLIGHTING E26 Standard Screw Base 13Watt CFL Light Bulb - 3 Pack, 5000 Kelvi",SLEEKLIGHTING,"[""Tools & Home Improvement"",""Light Bulbs"",""Fluorescent Tubes",16.89,19.89,USD,4.5,325.0,True,15.082956259426847,中价($15-30),中度(15-30%)
Amazon,"Mineral Fusion Lip Pencil, Splendid (Packaging May Vary)",Mineral Fusion,"[""Beauty & Personal Care"",""Makeup"",""Lips"",""Lip Liners""]",12.19,18.0,USD,4.3,432.0,True,32.277777777777786,低价($5-15),重度(>30%)
Amazon,"VIVOHOME Stadium Seats with Back Support and Cushion, 2 Pack Portable Bleacher C",VIVOHOME,"[""Sports & Outdoors"",""Sports & Outdoor Recreation Accessorie",89.99,89.99,USD,3.8,10.0,False,0.0,高价($50-100),无折扣
Amazon,220V to 110V Voltage Converter US to Europe Travel Plug Adapter for Hair Dryer I,IPLUSO,"[""Electronics"",""Power Accessories"",""Power Converters""]",42.99,42.99,USD,4.3,79.0,False,0.0,中高价($30-50),无折扣
Amazon,IOGEAR 2-Port USB HDMI Cabled KVM Switch - 1920 x 1200 60Hz - Hotkey or Remote B,IOGEAR,"[""Electronics"",""Computers & Accessories"",""Computer Component",59.99,59.99,USD,4.2,6340.0,False,0.0,高价($50-100),无折扣
Amazon,"WOW! PODS Minions: Rise Of Gru - Otto Jetpack RC Flying Ball, Interactive Mini R",WOW! STUFF,"[""Toys & Games"",""Remote & App Controlled Vehicles & Parts"",""",25.99,27.99,USD,4.0,92.0,True,7.145409074669526,中价($15-30),轻度(<15%)
Amazon,Pelvic Floor Muscle and Inner Thigh Master kegel Exerciser Toner for Women and M,Aiyazhi,"[""Sports & Outdoors"",""Exercise & Fitness"",""Strength Training",19.98,19.98,USD,4.3,787.0,False,0.0,中价($15-30),无折扣
Amazon,"Ruger Austrian Wafers Strawberry, 2.125 Ounce (Pack of 12)",RUGER,"[""Grocery & Gourmet Food"",""Breads & Bakery"",""Cookies"",""Wafer",19.6,23.62,USD,4.4,1161.0,True,17.0194750211685,中价($15-30),中度(15-30%)
Amazon,"thermomate Electric Tank Water Heater, 6.5 Gallons Mini Tank Water Heater for Po",thermomate,"[""Tools & Home Improvement"",""Plumbing"",""Water Heaters & Part",229.99,229.99,USD,4.4,845.0,False,0.0,超高价(>$100),无折扣
Amazon,ASLONG 5PCS Angel Wings Front and Back Car Seat Covers Auto Interior Accessories,ASLONG,"[""Automotive"",""Interior Accessories"",""Seat Covers & Accessor",149.99,149.99,USD,4.0,185.0,False,0.0,超高价(>$100),无折扣
Amazon,LASCO 15-1623 PVC Hose Adapter with 3/4-Inch Female Hose and 3/4-Inch PVC Pipe G,LASCO,"[""Tools & Home Improvement"",""Plumbing"",""Pipes, Pipe Fittings",11.03,11.03,USD,4.3,421.0,False,0.0,低价($5-15),无折扣
Amazon,"GE 3-Outlet Extender, 3 Pack, Grounded Wall Tap, 3-Prong, Multiple Plug, Power S",GE,"[""Tools & Home Improvement"",""Electrical"",""Cords, Adapters & ",11.18,11.18,USD,4.7,13242.0,False,0.0,低价($5-15),无折扣
Amazon,for Toyota Camry Dash Cover 2011 2010 2009 2008 2007 Dashboard Cover Mat Custom ,POSAID,"[""Automotive"",""Interior Accessories"",""Covers"",""Dash Covers""]",27.99,29.99,USD,4.5,108.0,True,6.668889629876626,中价($15-30),轻度(<15%)
Amazon,Hapinest DIY Dinosaur Toy Lantern Night Light Kit - Arts and Crafts Gift for Boy,Hapinest,"[""Toys & Games"",""Arts & Crafts"",""Craft Kits"",""Paper Craft""]",16.99,19.99,USD,4.5,4858.0,True,15.007503751875939,中价($15-30),中度(15-30%)
Amazon,"SkyBound Replacement Trampoline Mat, Fits 15ft Frames w/Spring Tool and Durable ",SkyBound,"[""Sports & Outdoors"",""Sports"",""Leisure Sports & Game Room"",""",78.99,78.99,USD,4.6,1497.0,False,0.0,高价($50-100),无折扣
Amazon,Set of 6 pcs 9 inch / 7 inch / 6.5 inch trolling Lure Marlin Tuna Dolphin Shark ,kmucutie,"[""Sports & Outdoors"",""Hunting & Fishing"",""Fishing"",""Lures, B",36.99,38.99,USD,4.6,1128.0,True,5.129520389843549,中高价($30-50),轻度(<15%)
Amazon,Neewer 18-inch SMD LED Ring Light Dimmable Lighting Kit with 78.7-inch Light Sta,Neewer,"[""Cell Phones & Accessories"",""Accessories"",""Photo & Video Ac",97.19,97.19,USD,4.6,10286.0,False,0.0,高价($50-100),无折扣
Amazon,"GIHETKUT Electric Cooktop,110V 2100W Electric Stove Top with Knob Control, 10 Po",GIHETKUT,"[""Home & Kitchen"",""Kitchen & Dining"",""Small Appliances"",""Cou",159.99,169.99,USD,4.1,167.0,True,5.882698982293076,超高价(>$100),轻度(<15%)
Amazon,Enclosed Stainless Steel Cat Litter Box Extra Large 9 Inch High Litter Box for B,ZeroPone,"[""Pet Supplies"",""Cats"",""Litter & Housebreaking"",""Litter Boxe",105.99,105.99,USD,4.5,65.0,False,0.0,超高价(>$100),无折扣
Amazon,2 Pieces 8.7 Inch Wooden Toaster Tongs With Magnet Magnetic Bamboo Toaster Tongs,Patelai,"[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen Utensils & Gad",8.99,8.99,USD,4.2,835.0,False,0.0,低价($5-15),无折扣
Amazon,"Stone Bath Mat, Natural Diatomaceous Earth Shower Mat, Non-Slip Stone Bath Mats ",TENLLEY,"[""Home & Kitchen"",""Bath"",""Bathroom Accessories"",""Bathtub Acc",19.49,29.49,USD,4.0,194.0,True,33.9097999321804,中价($15-30),重度(>30%)
Amazon,Replacement for Delta Faucet Classic 13 Series Single-Function Shower Valve Trim,KANDENT,"[""Tools & Home Improvement"",""Plumbing"",""Faucet Parts"",""Trim ",49.99,49.99,USD,4.3,207.0,False,0.0,中高价($30-50),无折扣
Amazon,"Hello Kitty, Stop Riding,Pink, Vinyl Decal,Sticker for Cars,Windows,Laptops and ",Koumyou,"[""Automotive"",""Exterior Accessories"",""Bumper Stickers, Decal",7.99,7.99,USD,4.7,139.0,False,0.0,低价($5-15),无折扣
Amazon,Sony SRS-XP500 X-Series Wireless Portable-BLUETOOTH-Karaoke Party-Speaker IPX4 S,Sony,"[""Musical Instruments"",""Live Sound & Stage"",""PA Systems""]",389.0,389.0,USD,4.6,2376.0,False,0.0,超高价(>$100),无折扣
Amazon,M-AUTO Projector L Tube Bar Headlights Compatible with 07-13 Chevy Silverado 150,M-AUTO,"[""Automotive"",""Lights & Lighting Accessories"",""Lighting Asse",151.99,151.99,USD,3.2,131.0,False,0.0,超高价(>$100),无折扣
Amazon,"DEMETER Thunderstorm Roll On Perfume Oil, 0.33 Oz, Long-Lasting",DEMETER,"[""Beauty & Personal Care"",""Fragrance"",""Women's"",""Cologne""]",13.5,15.0,USD,4.1,288.0,True,10.0,低价($5-15),轻度(<15%)
Amazon,Brushed Gold Coat Rack Wall Mount with 6 Double Hooks for Hanging – 17 Inch Heav,SAYONEYES,"[""Home & Kitchen"",""Storage & Organization"",""Home Storage Hoo",16.97,16.97,USD,4.6,1166.0,False,0.0,中价($15-30),无折扣
Amazon,"QBLEEV Warm Dog Coat Reflective Dog Jacket, Waterproof Dog Winter Coat Turtlenec",QBLEEV,"[""Pet Supplies"",""Dogs"",""Apparel & Accessories"",""Cold Weather",35.99,40.99,USD,4.5,2627.0,True,12.19809709685289,中高价($30-50),轻度(<15%)
Amazon,HERCULES Pre-Tied Loop Fly Fishing Leader 6 Pack with Tapered Leader Wallet,HERCULES,"[""Sports & Outdoors"",""Hunting & Fishing"",""Fishing"",""Fly Fish",6.99,9.99,USD,4.6,428.0,True,30.03003003003003,低价($5-15),重度(>30%)
Amazon,"Kelty Low-Love Seat Camping Chair - Portable, Folding Chair for Festivals, Campi",Kelty,"[""Sports & Outdoors"",""Outdoor Recreation"",""Camping & Hiking""",129.95,129.95,USD,4.8,1957.0,False,0.0,超高价(>$100),无折扣
Amazon,RIKIMARU Braided Fishing Line Abrasion Resistant Superline Zero Stretch&Low Memo,RIKIMARU,"[""Sports & Outdoors"",""Hunting & Fishing"",""Fishing"",""Fishing ",12.98,16.98,USD,4.4,5276.0,True,23.55712603062426,低价($5-15),中度(15-30%)
Amazon,"YSCare 24 Pack Scratch Arts and Crafts Notebooks, Rainbow Scratch Arts Paper wit",YSCare,"[""Toys & Games"",""Arts & Crafts"",""Craft Kits"",""Paper Craft""]",17.99,25.0,USD,4.7,153.0,True,28.040000000000003,中价($15-30),中度(15-30%)
Amazon,"Mizuno Padded Chin Strap for Batting Helmet, One Size, Black (380245)",Mizuno,"[""Sports & Outdoors"",""Sports"",""Team Sports"",""Baseball"",""Prot",8.0,12.5,USD,4.3,168.0,True,36.0,低价($5-15),重度(>30%)
Amazon,"VESAFE Wireless tire Pressure Monitoring System, TPMS, with Solar Charger, Diffe",VESAFE,"[""Automotive"",""Tires & Wheels"",""Accessories & Parts"",""Tire P",39.99,45.99,USD,4.3,91.0,True,13.04631441617743,中高价($30-50),轻度(<15%)
Amazon,"Delanie Handheld UV Light for Gel Nails, Rechargeable Portable Cordless Mini UV ",Delanie,"[""Beauty & Personal Care"",""Foot, Hand & Nail Care"",""Nail Art",9.99,9.99,USD,4.4,55.0,False,0.0,低价($5-15),无折扣
Amazon,Thrush Treatment for Horses - Pure Sole Hoof Mud - Hoof Clay for Horses - A Hors,Pure Sole,"[""Pet Supplies"",""Horses"",""Health Supplies"",""Hoof Care""]",47.95,47.95,USD,4.5,69.0,False,0.0,中高价($30-50),无折扣
Amazon,AsterOutdoor Sun Shade Sail Rectangle 12' x 16' UV Block Canopy for Patio Backya,AsterOutdoor,"[""Patio, Lawn & Garden"",""Patio Furniture & Accessories"",""Umb",39.54,49.99,USD,4.4,7925.0,True,20.90418083616724,中高价($30-50),中度(15-30%)
Amazon,"Plano Large 2 Sided Tackle Box, Metallic Gray & Blue, Medium",Plano,"[""Sports & Outdoors"",""Hunting & Fishing"",""Fishing"",""Terminal",11.99,14.99,USD,4.3,1008.0,True,20.0133422281521,低价($5-15),中度(15-30%)
Amazon,"014973199524 Phillips Pan Machine Screws, 8-32 x 3-Inch, 25-Piece",Hard-to-Find Fastener,"[""Industrial & Scientific"",""Fasteners"",""Screws"",""Machine Scr",10.99,10.99,USD,4.8,100.0,False,0.0,低价($5-15),无折扣
Amazon,Double Braided Arborist Rigging Rope (1/2 in x 100 ft) Strong Polyester Rope 48 ,CRAYZA,"[""Tools & Home Improvement"",""Hardware"",""Tarps & Tie-Downs"",""",38.99,42.99,USD,4.5,36.0,True,9.304489416143289,中高价($30-50),轻度(<15%)
Amazon,Molten VBU12 Light Volleyball,Molten,"[""Sports & Outdoors"",""Sports"",""Team Sports"",""Volleyball"",""Vo",34.86,51.45,USD,4.7,400.0,True,32.244897959183675,中高价($30-50),重度(>30%)
Amazon,"GearIT Cat7 Outdoor Ethernet Cable (100ft) SFTP Shielded Foil Twisted Pair, Pure",GearIT,"[""Electronics"",""Computers & Accessories"",""Computer Accessori",43.98,43.98,USD,4.6,765.0,False,0.0,中高价($30-50),无折扣
Amazon,"Dog Ear Muffs for Noise Protection, Noise Cancelling Headphones for Dogs, 29dB D",WoofWorks,"[""Pet Supplies"",""Dogs"",""Health Supplies"",""Ear Care""]",48.99,54.99,USD,4.3,51.0,True,10.911074740861974,中高价($30-50),轻度(<15%)
Amazon,"COOLJOB 100% Cotton Gloves, 6 Pairs White Cotton Gloves for Dry Hands Moisturizi",COOLJOB,"[""Beauty & Personal Care"",""Foot, Hand & Nail Care"",""Foot & H",9.99,9.99,USD,4.2,212.0,False,0.0,低价($5-15),无折扣
Amazon,"1 Pack Clear Glass Lamp Shade, with 1-5/8"" Fitter Opening, Cylinder Glass Lamp S",HGHYjrxfkl,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Lamps",19.55,19.55,USD,4.5,96.0,False,0.0,中价($15-30),无折扣
Amazon,"HouseAid Industrial Pipe Towel Rack, Farmhouse Bathroom Towel Storage Holder, Vi",HouseAid,"[""Home & Kitchen"",""Bath"",""Bathroom Accessories"",""Towel Holde",26.99,26.99,USD,4.6,98.0,False,0.0,中价($15-30),无折扣
Amazon,Lodge Cast Iron Cook-It-All Kit. Five-Piece Cast Iron Set includes a Reversible ,Lodge,"[""Sports & Outdoors"",""Outdoor Recreation"",""Camping & Hiking""",119.7,119.7,USD,4.8,376.0,False,0.0,超高价(>$100),无折扣
Amazon,"BestEquip Hydraulic Scissor 500LBS Capacity, Cart Lift Table Cart 28.5-Inch Lift",BestEquip,"[""Industrial & Scientific"",""Material Handling Products"",""Pul",249.99,299.99,USD,4.2,181.0,True,16.66722224074136,超高价(>$100),中度(15-30%)
Amazon,"Learning Clock for kids, Glow in The Dark Wall Clock for Bedroom, 12 Inch Silent",DORBOKER,"[""Home & Kitchen"",""Home Décor Products"",""Kids' Room Décor"",""",19.99,27.99,USD,4.5,157.0,True,28.581636298678102,中价($15-30),中度(15-30%)
Amazon,"TooCust 16” x 24” Cork Boards for Walls with Frame, 1 Pack Small Wood Framed Bul",TooCust,"[""Office Products"",""Office & School Supplies"",""Presentation ",25.99,25.99,USD,4.2,284.0,False,0.0,中价($15-30),无折扣
Amazon,Portable Dog Water Bottle 32 Oz with 2 Bowls Attached and Carrier Bag - Insulate,HELENA HI IRIS,"[""Pet Supplies"",""Dogs"",""Feeding & Watering Supplies"",""Water ",29.99,37.99,USD,4.7,81.0,True,21.058173203474606,中价($15-30),中度(15-30%)
Amazon,"OImatser Monitor Stand Riser 3.0 USB HUB, Type-C Data Port, Foldable Computer Mo",OImaster,"[""Electronics"",""Computers & Accessories"",""Computer Accessori",33.99,39.99,USD,4.6,2350.0,True,15.003750937734434,中高价($30-50),中度(15-30%)
Amazon,"Pfister Weller Tub & Shower Valve Only Trim, Valve Not Included, 1-Handle, Brush",Pfister,"[""Tools & Home Improvement"",""Plumbing"",""Valves"",""Shower Flow",57.45,69.0,USD,4.4,218.0,True,16.739130434782602,高价($50-100),中度(15-30%)
Amazon,Muslin Bassinet Sheets Set 2 Pack Fitted Cradle Sheets for Bassinet Bedside Bass,DORA MOMOKO,"[""Baby Products"",""Nursery"",""Bedding"",""Baby Bedding"",""Sheets""",9.99,11.99,USD,4.6,82.0,True,16.680567139282733,低价($5-15),中度(15-30%)
Amazon,Sigma BC 14.16 STS Digital Wireless Bicycle Computer w/Optional Cadence | Altitu,Sigma,"[""Sports & Outdoors"",""Sports & Outdoor Recreation Accessorie",62.99,69.99,USD,4.1,966.0,True,10.001428775539353,高价($50-100),轻度(<15%)
Amazon,"DecorRack 13 Inch Alloy Steel Pizza Pan, Non-Stick Coating, Dishwasher Safe Serv",DecorRack,"[""Home & Kitchen"",""Kitchen & Dining"",""Bakeware"",""Pizza Pans ",9.99,9.99,USD,4.3,523.0,False,0.0,低价($5-15),无折扣
Amazon,DRAGONtail Shogun Furled Tenkara Line with Line Holder (Light-Weight Yellow All-,DRAGONtail Tenkara,"[""Sports & Outdoors"",""Hunting & Fishing"",""Fishing"",""Fishing ",16.0,16.0,USD,4.5,75.0,False,0.0,中价($15-30),无折扣
Amazon,"ELYKEN 5.9"" Narrow Console Sofa Table with Power Outlets and USB Port, 5.9"" Dx39",ELYKEN,"[""Home & Kitchen"",""Furniture"",""Living Room Furniture"",""Table",56.99,159.99,USD,4.6,931.0,True,64.37902368898055,高价($50-100),重度(>30%)
Amazon,Acrylic Painting Set with 1 Packs / 10 PCS Nylon Hair Brushes 12 Color Tubes (12,ESRICH,"[""Arts, Crafts & Sewing"",""Painting, Drawing & Art Supplies"",",9.99,12.99,USD,4.5,150.0,True,23.094688221709006,低价($5-15),中度(15-30%)
Amazon,2 Packs for iPhone Headphones Lighting Wired Earphones (Built-in Microphone & Vo,EYIW,"[""Electronics"",""Headphones, Earbuds & Accessories"",""Headphon",20.98,21.98,USD,4.4,543.0,True,4.549590536851683,中价($15-30),轻度(<15%)
Amazon,"Black Cube Quick Release Cookware Fry Pan, 11-Inch",Frieling,"[""Home & Kitchen"",""Kitchen & Dining"",""Cookware"",""Pots & Pans",89.95,109.95,USD,4.0,1076.0,True,18.190086402910413,高价($50-100),中度(15-30%)
Amazon,BDK Croc Skin Faux Leather Car Seat Covers Full Set with Carpet Car Floor Mats -,BDK,"[""Automotive"",""Interior Accessories"",""Floor Mats & Cargo Lin",37.99,55.9,USD,3.4,872.0,True,32.03935599284436,中高价($30-50),重度(>30%)
Amazon,"Clip Mount for Eufy Baby Monitor Camera, Flexible Gooseneck Baby Monitor Holder ",wochel,"[""Baby Products"",""Safety"",""Monitors"",""Video Monitors""]",15.99,15.99,USD,4.3,232.0,False,0.0,中价($15-30),无折扣
Amazon,"CROSSSELL Ergonomic Bike Grips, Handlebar Grip, Bicycle Handlebar Grips, Mountai",CROSSSELL,"[""Sports & Outdoors"",""Sports"",""Cycling"",""Parts & Components""",11.99,12.9,USD,5.0,4.0,True,7.054263565891474,低价($5-15),轻度(<15%)
Amazon,"The Step Original Aerobic Platform, Health Club Size Steppers for Exercise with ",Freestyle STEP,"[""Sports & Outdoors"",""Exercise & Fitness"",""Accessories"",""Ste",102.99,159.99,USD,4.8,460.0,True,35.62722670166886,超高价(>$100),重度(>30%)
Amazon,wusoda Silent Basketball Dribbling Indoor Dribble Dream Silent Basketball Airles,wusoda,"[""Sports & Outdoors"",""Sports"",""Team Sports"",""Basketball"",""Ba",17.99,18.99,USD,4.6,16.0,True,5.265929436545551,中价($15-30),轻度(<15%)
Amazon,"for Samsung Galaxy A15 Case for Women Girls with Ring Kickstand,Galaxy A15 Phone",Aulzaju,"[""Cell Phones & Accessories"",""Cases, Holsters & Sleeves"",""Bu",11.99,12.99,USD,4.6,10.0,True,7.698229407236336,低价($5-15),轻度(<15%)
Amazon,"YORWHIN Hanging Punching Bag for Adults, 4FT PU Heavy Bag Boxing Training Equipm",YORWHIN,"[""Sports & Outdoors"",""Sports"",""Other Sports"",""Boxing"",""Punch",47.99,47.99,USD,5.0,1.0,False,0.0,中高价($30-50),无折扣
Amazon,Marsram Ignition Coil Pack DG508 & Spark Plugs SP479 Double Iridium for 2000 200,Marsram,"[""Automotive"",""Replacement Parts"",""Ignition Parts"",""Coil Pac",80.99,86.99,USD,4.5,59.0,True,6.897344522358892,高价($50-100),轻度(<15%)
Amazon,"22’’ Tall Set of 2 Touch Control Table Lamp w. 2 USB Ports, 3-Way Dimmable Moder",MoMyofdy,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Lamps",59.99,59.99,USD,4.4,1274.0,False,0.0,高价($50-100),无折扣
Amazon,Bushnell Tour V6 / Tour V6 Shift Laser Golf Rangefinder with Wearable4U Bundle,Wearable4U,"[""Sports & Outdoors"",""Sports"",""Golf"",""Accessories"",""Rangefin",259.99,284.99,USD,4.5,38.0,True,8.772237622372714,超高价(>$100),轻度(<15%)
Amazon,COB LED Light Strip Connectors 20pcs 8mm 2Pin Strip to Wires LED Tape Light Conn,VISDOLL,"[""Tools & Home Improvement"",""Lighting & Ceiling Fans"",""Ceili",8.99,8.99,USD,4.3,69.0,False,0.0,低价($5-15),无折扣
Amazon,Shoreline Marine S.O.S. Distress Flag,Shoreline Marine,"[""Sports & Outdoors"",""Sports"",""Boating & Sailing"",""Boating"",",9.36,14.99,USD,4.7,491.0,True,37.55837224816545,低价($5-15),重度(>30%)
Amazon,200 Pcs Colored Balls Table Tennis Balls Plastic Balls 40 mm 2.4 g Balls Enterta,Sotiff,"[""Sports & Outdoors"",""Sports"",""Leisure Sports & Game Room"",""",22.99,26.99,USD,4.6,43.0,True,14.820303816228234,中价($15-30),轻度(<15%)
Amazon,"MAIWO M.2 SSD Enclosure Adapter,USB 3.2 Gen 2 (10Gbps) to M.2 NVME/SATA,Support ",MAIWO,"[""Electronics"",""Computers & Accessories"",""Computer Accessori",16.99,16.99,USD,4.4,159.0,False,0.0,中价($15-30),无折扣
Amazon,"LANE LINEN Bath Towels for Bathroom Set- 100% Cotton Towel Set, Soft Bath Set- 6",LANE LINEN,"[""Home & Kitchen"",""Bath"",""Towels"",""Towel Sets""]",67.99,79.99,USD,4.3,3031.0,True,15.001875234404302,高价($50-100),中度(15-30%)
Amazon,AMGSH 3-Tier 2 Pack Bar Glass Rimmer Bartender Tool with Sponge | Margarita Salt,AMGSH,"[""Home & Kitchen"",""Kitchen & Dining"",""Dining & Entertaining""",15.95,15.95,USD,4.5,55.0,False,0.0,中价($15-30),无折扣
Amazon,AFI Richmond Full Size Headboard with Attachable Charger in Walnut,AFI,"[""Home & Kitchen"",""Furniture"",""Bedroom Furniture"",""Beds, Fra",97.99,121.79,USD,4.5,2176.0,True,19.541834304951152,高价($50-100),中度(15-30%)
Amazon,BRINDLE Waterproof Memory Foam Pet Bed - Removable and Washable Cover - 4 Inch O,Brindle,"[""Pet Supplies"",""Cats"",""Beds & Furniture"",""Beds""]",65.26,79.99,USD,4.6,6099.0,True,18.414801850231267,高价($50-100),中度(15-30%)
Amazon,"POWERTEC 6 Inch Jointer Blades for Delta 37-190 37-195 37-205 37-220 37-275X, JE",POWERTEC,"[""Tools & Home Improvement"",""Power & Hand Tools"",""Power Tool",15.9,15.9,USD,4.5,330.0,False,0.0,中价($15-30),无折扣
Amazon,"TSI Supercool 16532 Radiator Dye, 1 oz (Single Application)",TSI Supercool,"[""Automotive"",""Tools & Equipment"",""Air Conditioning Tools & ",7.33,7.99,USD,4.5,85.0,True,8.260325406758449,低价($5-15),轻度(<15%)
Amazon,"Kitdacnin Mothers Day for Wife Gifts from Husband, Anniversary Romantic Gifts fo",Kitdacnin,"[""Home & Kitchen"",""Bedding"",""Blankets & Throws"",""Bed Blanket",35.99,39.99,USD,4.7,370.0,True,10.002500625156289,中高价($30-50),轻度(<15%)
Amazon,MTM H50-XL Deluxe Handled 50-Round Rifle Ammo Case Box 270 300 WSM 338 Lapua,MTM,"[""Hunting & Fishing"",""Shooting"",""Gun Accessories, Maintenanc",14.09,18.55,USD,4.7,479.0,True,24.043126684636125,低价($5-15),中度(15-30%)
Amazon,"Aothia Dual-Sided Desk Pad - Leather Desk Mat, Natural Cork Desk Pad Protector, ",Aothia,"[""Office Products"",""Office & School Supplies"",""Desk Accessor",18.95,22.99,USD,4.7,9304.0,True,17.572857764245324,中价($15-30),中度(15-30%)
Amazon,Kreg ACS430 Adaptive Cutting System 62-inch Guide Track - Circular Track Saw - A,KREG,"[""Tools & Home Improvement"",""Hardware"",""Door Hardware & Lock",99.0,99.0,USD,4.6,314.0,False,0.0,高价($50-100),无折扣
Amazon,"Best Choice Products 45.5in 3-Piece Bench Style Dining Furniture Set, 4-Person S",Best Choice Products,"[""Home & Kitchen"",""Furniture"",""Dining Room Furniture"",""Table",139.98,179.99,USD,4.5,2306.0,True,22.229012722929063,超高价(>$100),中度(15-30%)
Amazon,"12 Pack Notebook Journals for Travelers, Students and Office, Writing Sketchbook",XYark,"[""Office Products"",""Office & School Supplies"",""Paper"",""Noteb",18.99,18.99,USD,4.7,1830.0,False,0.0,中价($15-30),无折扣
Amazon,"Stonewall Kitchen Peach Amaretto Jam, 12.5 Ounces",Stonewall Kitchen,"[""Grocery & Gourmet Food"",""Pantry Staples"",""Jams, Jellies & ",13.19,13.19,USD,4.5,1824.0,False,0.0,低价($5-15),无折扣
